@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute bass_x numeric
@attribute bass_y numeric
@attribute bass_vel_x numeric
@attribute bass_vel_y numeric
@attribute drone_x numeric
@attribute drone_y numeric
@attribute drone_vel_x numeric
@attribute drone_vel_y numeric
@attribute drums_x numeric
@attribute drums_y numeric
@attribute drums_vel_x numeric
@attribute drums_vel_y numeric
@attribute BassNoteClassifier {0,1,2,3,4,5}
@attribute BassXY numeric
@attribute BassVel numeric
@attribute BassFollow numeric
@attribute DroneNoteClassifier {0,1,2,3,4}
@attribute DroneXY numeric
@attribute DroneVel numeric
@attribute DroneFollow numeric
@attribute KickNoteClassifier {0,1,2,3,4,5}
@attribute SnareNoteClassifier {0,1,2,3,4,5}
@attribute HihatNoteClassifier {0,1,2,3,4,5}
@attribute SnareXY numeric
@attribute SnareVel numeric
@attribute HihatXY numeric
@attribute HihatVel numeric
@attribute DrumPitch numeric

@data
84,'2018/04/29 13:13:06:243',1,0.678033,0.56,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
85,'2018/04/29 13:13:06:358',1,0.679885,0.57037,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
86,'2018/04/29 13:13:06:474',1,0.679993,0.614681,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87,'2018/04/29 13:13:06:591',1,0.679999,0.619689,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88,'2018/04/29 13:13:06:706',1,0.68,0.658697,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
89,'2018/04/29 13:13:06:822',1,0.68,0.669338,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
90,'2018/04/29 13:13:06:938',1,0.68,0.669961,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
91,'2018/04/29 13:13:07:055',1,0.68,0.661109,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
92,'2018/04/29 13:13:07:170',1,0.68,0.624089,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
93,'2018/04/29 13:13:07:286',1,0.68,0.596289,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
94,'2018/04/29 13:13:07:402',1,0.68,0.563148,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
95,'2018/04/29 13:13:07:518',1,0.68,0.523984,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
96,'2018/04/29 13:13:07:634',1,0.68,0.507485,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
97,'2018/04/29 13:13:07:751',1,0.68,0.473877,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
98,'2018/04/29 13:13:07:865',1,0.68,0.437593,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
99,'2018/04/29 13:13:07:982',1,0.68,0.415474,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100,'2018/04/29 13:13:08:098',1,0.68,0.368039,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
101,'2018/04/29 13:13:08:214',1,0.68,0.360471,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
102,'2018/04/29 13:13:08:329',1,0.68,0.360028,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
